editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,size,word_count,class,comment_len,Anonymous,vulgar_word_ratio,longest_Word,bad_words
46598.0,641371506,1.1583,0.1429,0.1714,0.3333,0.4762,Graham87,676332599,0,105028.0,12201.0,0,143,0,0,0,0
47586.0,721629708,1.1312,0.0849,0.1147,0.0568,0.0602,Allopatry,760929913,1,8281.0,979.0,0,8,0,0.0,48,0.0
47496.0,777760499,1.1436,0.0429,0.0576,0.1016,0.1131,Grapesoda22,777760625,3,18009.0,733.0,0,24,0,0.0,19,0.0
46550.0,837986787,1.1211,0.0363,0.1004,0.0541,0.0572,KolbertBot,846478259,1,3212.0,259.0,0,42,0,0.0,140,0.0
47966.0,853536969,1.1133,0.0254,0.0484,0.0684,0.0734,2600:1702:2530:98F0:74DC:93D4:EE16:3EE5,898994024,3,19941.0,2053.0,0,29,1,0.0,9,0.0
46667.0,864563062,1.1323,0.0451,0.0731,0.0599,0.0637,Monkbot,918143374,4,9538.0,1143.0,0,160,0,0.0,107,0.0
50031.0,921440164,1.1295,0.0355,0.0834,0.1077,0.1207,InternetArchiveBot,931655329,153,10813.0,1038.0,0,55,0,0.0,105,0.0
48487.0,924516433,1.1191,0.0433,0.0644,0.0706,0.0759,KIENGIR,924614178,1,4899.0,483.0,0,118,0,0.0,21,0.0
48866.0,925097885,1.1374,0.0433,0.0886,0.0695,0.0747,184.16.122.219,925099187,17,15428.0,1675.0,0,37,1,0.031446540880503145,12,0.0
50696.0,940391424,1.1525,0.001,0.02,0.0856,0.0935,Toweli,944519499,32,1434.0,152.0,0,0,0,0.0,10,0.0
49526.0,940441886,1.1496,0.0641,0.1206,0.0661,0.0708,Premeditated Chaos,942036584,4,52646.0,5682.0,0,129,1,0.009345794392523364,13,0.0
49778.0,940932324,1.1327,0.0496,0.1297,0.1595,0.1897,Guinness323,946676577,76,6917.0,823.0,0,29,0,0.0,15,0.0
48558.0,942677600,1.1487,0.0614,0.1106,0.0829,0.0904,Phantanan Kobkitchaisong,942767598,15,41330.0,3609.0,0,11,1,0.0,14,0.0
51377.0,943040145,1.1409,0.0106,0.0411,0.1004,0.1116,Narky Blert,944692384,15,2034.0,228.0,0,12,1,0.0,9,0.0
47272.0,946391357,1.1366,0.0267,0.0468,0.0325,0.0335,Richard Nevell,946395998,0,14275.0,1688.0,0,2,1,0.0,28,0.0
46972.0,947252276,1.1451,0.0723,0.1608,0.0574,0.0609,104.243.164.238,947920229,28,40350.0,1785.0,0,0,1,0.0,12,0.0
49626.0,947691580,1.0913,0.0853,0.1552,0.0611,0.0651,R'n'B,947851737,45,189487.0,15768.0,0,174,1,0.0,115,0.0
50321.0,948682822,1.1271,0.0746,0.1161,0.0877,0.0962,81.110.114.228,948868770,0,27050.0,2123.0,0,20,1,0.0,59,0.0
