diffurl,edittime,editcomment,articletitle,editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,class,comment_len,Anonymous,vulgar_word_ratio,character_distribution,longest_Word,bad_words,size,word_count
http://en.wikipedia.org/w/index.php?diff=327119318&oldid=327116914,2009-11-21T15:12:26Z,"coordinates, borders",Selams?z,36319,327683193,1.0705,0.0352,0.0717,0.0587,0.0623,Black Stripe,327835150,318,0,21,1,0.0,0.09762379,13.0,0.0,5921.0,500.0
http://en.wikipedia.org/w/index.php?diff=327420266&oldid=279764052,2009-11-23T05:17:22Z,synonyms of P. bovinus. Decades since anyone considered them valid,Pteromylaeus,27813,327932788,1.1519,0.0546,0.0938,0.1301,0.1495,Another Believer,327945608,2,0,21,1,0.0,inf,15.0,0.0,3347.0,218.0
http://en.wikipedia.org/w/index.php?diff=327477409&oldid=327477165,2009-11-23T14:31:15Z,/* Top-ten goalscorers */,Primera División Chilena 2009,8110,328802995,1.1505,0.0444,0.0706,0.0662,0.0708,JenniferLeslie2008,328803037,8,0,21,0,0.021276596,0.05671789,102.0,0.0,9607.0,868.0
http://en.wikipedia.org/w/index.php?diff=329283865&oldid=329283546,2009-12-02T18:24:21Z,/* Draft picks */  fix,1987–88 Calgary Flames season,16343,327444534,1.1228,0.0661,0.1305,0.0919,0.1011,32.179.97.196,328139556,0,0,0,1,0.0,0.10944429,10.0,0.0,28246.0,631.0
http://en.wikipedia.org/w/index.php?diff=328662199&oldid=327623322,2009-11-29T21:27:36Z,/* Hacks */,OReilly Media,9335,311207569,1.1505,0.0154,0.0349,0.0288,0.0296,Rich Farmbrough,329976971,19,0,109,1,0.0,0.42993593,22.0,0.0,14177.0,1466.0
http://en.wikipedia.org/w/index.php?diff=327048382&oldid=327046444,2009-11-21T03:18:01Z,The archaic definition holding a position by birth fits exactly.,Natural born citizen of the United States,7129,327760169,1.1258,0.0155,0.058,0.0685,0.0734,Aspects,327760237,12,0,70,0,0.0,0.72176653,3.0,0.0,141124.0,16461.0
http://en.wikipedia.org/w/index.php?diff=328717031&oldid=328716935,2009-11-30T02:38:01Z,Quick-adding category [[:Category:British MPs 1754-1761|British MPs 1754-1761]] (using [[WP:HOTCAT|HotCat]]),Thomas Clarke (judge),4510,271583232,1.1299,0.0814,0.1231,0.1305,0.1499,Rich Farmbrough,329059312,20,0,74,1,0.0,0.016172718,11.0,0.0,6018.0,439.0
http://en.wikipedia.org/w/index.php?diff=328618513&oldid=328362115,2009-11-29T17:43:11Z,/* Depictions */,Selene,5080,326231210,1.1103,0.0903,0.1387,0.0818,0.08900000000000001,80.216.240.26,327903223,3,0,0,1,0.0,inf,3.0,0.0,51821.0,5038.0
http://en.wikipedia.org/w/index.php?diff=328658798&oldid=328536282,2009-11-29T21:11:03Z,/* 10-60s */,Ten-code,41483,327974247,1.1409,0.1656,0.219,0.093,0.1025,Malleus Fatuorum,327974327,14,0,31,1,0.024390244,0.000799,108.0,0.0,43472.0,2296.0
http://en.wikipedia.org/w/index.php?diff=328686649&oldid=312669385,2009-11-29T23:35:00Z,format,"Hugh Percy, 10th Duke of Northumberland",30771,328295034,1.14,0.0113,0.0328,0.0547,0.0578,Hadrianmendoza,328295179,10,0,17,0,0.022727273,0.001317064,14.0,0.0,9311.0,466.0
http://en.wikipedia.org/w/index.php?diff=327863954&oldid=326956267,2009-11-25T14:15:10Z,/* Famous People in the Colonial Yanam */,"Yanam, India",39927,328077999,1.122,0.136,0.2512,0.1582,0.188,Sam Barsoom,328078475,92,0,6,1,0.0,inf,66.0,0.0,45665.0,5333.0
http://en.wikipedia.org/w/index.php?diff=328250671&oldid=328244473,2009-11-27T19:19:18Z,[[WP:UNDO|Undid]] revision 328244473 by [[Special:Contributions/69.118.79.53|69.118.79.53]] ([[User talk:69.118.79.53|talk]]),Orlando Magic,26293,329720034,1.1387,0.0482,0.0693,0.1083,0.1214,Bonewah,329720156,41,0,0,0,0.0,inf,10.0,0.0,114647.0,12238.0
http://en.wikipedia.org/w/index.php?diff=327362534&oldid=327361960,2009-11-22T22:33:23Z,,San Lorenzo de El Escorial,17030,327017872,1.0734,0.036000000000000004,0.071,0.0646,0.069,65.75.20.183,329142468,9,1,0,1,0.111111111,inf,9.0,0.0,31953.0,3422.0
http://en.wikipedia.org/w/index.php?diff=329038005&oldid=329037907,2009-12-01T14:42:15Z,/* The concept */,Platform as a service,37287,326800779,1.1264,0.0485,0.0736,0.1137,0.1283,67.194.66.2,326800902,2,0,16,1,0.0,7.730000000000001e-05,323.0,0.0,16132.0,1792.0
http://en.wikipedia.org/w/index.php?diff=329775177&oldid=329775091,2009-12-05T00:31:57Z,,Demonax (disambiguation),15502,326680098,1.1401,0.0129,0.0415,0.056,0.0594,70.26.236.223,328517358,0,1,25,1,0.0,0.0,0.0,0.0,315.0,38.0
http://en.wikipedia.org/w/index.php?diff=329645787&oldid=329644221,2009-12-04T11:02:31Z,/* Dynamic unrolling  correct JIT link*/,Loop unwinding,931,327907946,1.1329,0.0368,0.064,0.0961,0.1063,Benjiboi,327988379,0,0,189,0,0.0,0.0,0.0,0.0,26344.0,3254.0
http://en.wikipedia.org/w/index.php?diff=327633083&oldid=325057184,2009-11-24T08:52:35Z,removed fansite tag as it seems pretty much factual to me,Charlotte Martin,10679,329698907,1.06,0.0221,0.0452,0.0567,0.0602,117.196.129.132,329699129,0,0,0,1,0.0,0.02100446,8.0,0.0,16196.0,1879.0
http://en.wikipedia.org/w/index.php?diff=328753672&oldid=327805802,2009-11-30T07:11:27Z,/* Top performers */,Racewalking,42372,329730005,1.103,0.0146,0.0318,0.0483,0.0508,OverlordQ,329730090,37,0,130,0,0.0,0.065296315,17.0,0.0,23677.0,1946.0
http://en.wikipedia.org/w/index.php?diff=328770347&oldid=324602047,2009-11-30T09:48:07Z,,Domariaganj,43046,327392269,1.1331,0.0034,0.0604,0.1322,0.1523,NE2,329608621,2,0,34,0,0.0,inf,2.0,0.0,4420.0,152.0
http://en.wikipedia.org/w/index.php?diff=329310184&oldid=329310027,2009-12-02T21:04:00Z,i have updated it to give more info,Edinburgh,40030,319812272,1.1235,0.0129,0.0226,0.0483,0.0508,Diliff,328205483,362,0,50,0,0.0,inf,14.0,0.0,187865.0,16600.0
http://en.wikipedia.org/w/index.php?diff=330086101&oldid=330078441,2009-12-06T17:22:46Z,[[WP:UNDO|Undid]] revision 330078441 by [[Special:Contributions/Aftab27|Aftab27]] ([[User talk:Aftab27|talk]]),Islam in Kyrgyzstan,37188,328500039,1.0939,0.031,0.0512,0.0716,0.077,83.10.126.15,329070606,13,0,20,1,0.0,0.000389,26.0,0.0,8518.0,997.0
http://en.wikipedia.org/w/index.php?diff=326800354&oldid=310261210,2009-11-19T21:06:33Z,Redirect to show article (character is not significant enough to warrant its own article),Howard Sheinfeld,6122,329444476,1.1307,0.0652,0.0843,0.1351,0.1562,Escape Orbit,329461112,29,0,164,1,0.0,0.0,0.0,0.0,16207.0,753.0
http://en.wikipedia.org/w/index.php?diff=328843590&oldid=327281025,2009-11-30T18:17:36Z,,No. 20 Squadron RAF,34441,329112991,1.1256,0.0602,0.1348,0.0775,0.0839,Pohick2,329449675,19,0,20,0,0.0,inf,35.0,0.0,16071.0,1267.0
http://en.wikipedia.org/w/index.php?diff=327531331&oldid=326681749,2009-11-23T20:26:02Z,,List of Weird Al Yankovic polka medleys,26785,327929709,1.13,0.0311,0.0783,0.0992,0.11,64.26.72.143,327929732,0,0,10,1,0.0,0.016922476000000002,11.0,0.0,30436.0,2804.0
http://en.wikipedia.org/w/index.php?diff=329287059&oldid=329286264,2009-12-02T18:42:16Z,,"Indian general election in Tamil Nadu, 1971",14810,328845669,1.1039,0.0351,0.1068,0.1151,0.1301,200.89.135.170,328845782,257,0,49,1,0.0,inf,14.0,0.0,10193.0,187.0
http://en.wikipedia.org/w/index.php?diff=328060285&oldid=327626005,2009-11-26T16:28:26Z,/* Demographics */,"Lower Lake, California",17486,328793101,1.1387,0.0534,0.0781,0.0579,0.0614,99.179.46.90,328793545,0,1,14,1,0.0,inf,53.0,0.0,10812.0,1268.0
http://en.wikipedia.org/w/index.php?diff=327859669&oldid=323999513,2009-11-25T13:39:35Z,Acknowledging alternative accounts of death.,Zenobia,37286,329511749,1.127,0.0695,0.1226,0.069,0.0741,137.52.231.30,329520458,0,0,0,1,0.0,0.0,0.0,0.0,129704.0,12420.0
http://en.wikipedia.org/w/index.php?diff=329778252&oldid=329644274,2009-12-05T00:49:22Z,/* Current operators */,Fokker 100,23454,313628399,1.1436,0.0098,0.0269,0.0636,0.0679,Tamariki,328151408,11,0,0,0,0.0,inf,11.0,0.0,38130.0,3679.0
http://en.wikipedia.org/w/index.php?diff=329215471&oldid=329215394,2009-12-02T09:29:06Z,/* Movement I */,Symphony No. 1 Afro-American,24789,328214505,1.148,0.0242,0.0607,0.0662,0.0708,Zanze123,328215127,35,0,24,0,0.0,0.18983036,71.0,0.0,8806.0,1164.0
http://en.wikipedia.org/w/index.php?diff=327159825&oldid=321683968,2009-11-21T19:55:08Z,Disambiguate [[The Longest Yard (film)]] to [[The Longest Yard (2005 film)]] using [[:en:Wikipedia:Tools/Navigation_popups|popups]],William Fichtner,971,329791738,1.0686,0.022,0.0703,0.0652,0.0697,67.175.221.57,329813097,63,1,0,1,0.030120482,inf,18.0,0.0,18701.0,850.0
http://en.wikipedia.org/w/index.php?diff=329053097&oldid=287174302,2009-12-01T16:11:04Z,Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]],1968 Washington Redskins season,15995,328108222,1.0797,0.0238,0.0449,0.0955,0.1055,Sodacan,328687875,1,0,0,0,0.0,0.008600855,16.0,0.0,8591.0,59.0
http://en.wikipedia.org/w/index.php?diff=326907502&oldid=326871002,2009-11-20T10:47:36Z,,Liturgy,15861,312877945,1.1299,0.0174,0.0643,0.0799,0.0868,Ss112,328393572,2,0,13,0,0.0,inf,13.0,0.0,12961.0,1541.0
http://en.wikipedia.org/w/index.php?diff=329136243&oldid=329067580,2009-12-01T23:24:43Z,/* Singles */,Jordin Sparks discography,31130,326987824,1.0527,0.0379,0.0639,0.0378,0.0393,TimVickers,326988215,15,0,150,0,0.0,0.0,0.0,0.0,43503.0,1789.0
http://en.wikipedia.org/w/index.php?diff=327938971&oldid=327888473,2009-11-25T22:20:33Z,"Leaving page as it was, except for SPLIT tag -- see talk page discussion",Chaos,33663,329968308,1.1356,0.0602,0.0867,0.0412,0.043,94.224.189.231,329968444,21,0,7,1,0.0,0.0957641,12.0,0.0,6172.0,681.0
http://en.wikipedia.org/w/index.php?diff=328521197&oldid=328465611,2009-11-29T04:33:33Z,[[WP:UNDO|Undid]] revision 328465611 by [[Special:Contributions/99.230.127.223|99.230.127.223]] ([[User talk:99.230.127.223|talk]]),Daubert standard,41229,327379490,1.1439,0.0263,0.0397,0.0513,0.0541,BrownHairedGirl,327690182,19,0,126,0,0.0,inf,19.0,0.0,27722.0,3849.0
http://en.wikipedia.org/w/index.php?diff=326823445&oldid=326823401,2009-11-19T23:12:07Z,,Pindad APS-3,21833,328154773,1.0871,0.0752,0.1722,0.0799,0.0869,CaninePitDog,328155444,0,0,14,0,0.0,0.0,12.0,0.0,34251.0,3261.0
http://en.wikipedia.org/w/index.php?diff=328039678&oldid=327998875,2009-11-26T13:36:54Z,rev,Generation Y,28121,329897721,1.0535,0.0577,0.1019,0.0674,0.0723,Dabomb87,329898017,49,0,25,0,0.0,0.33122468,14.0,0.0,240567.0,27438.0
http://en.wikipedia.org/w/index.php?diff=327690725&oldid=327579089,2009-11-24T16:52:35Z,/* Second generation (2009-present) */,Lexus GX,27769,328889756,1.1401,0.0198,0.0388,0.0278,0.0286,160.83.72.212,329478992,23,0,0,1,0.0,0.000541,19.0,0.0,29689.0,2810.0
http://en.wikipedia.org/w/index.php?diff=327220568&oldid=327220351,2009-11-22T02:42:14Z,Reverted edits by [[Special:Contributions/71.194.68.218|71.194.68.218]] to last revision by 92.234.60.119 ([[WP:HG|HG]]),Kel Mitchell,24982,329847327,1.1004,0.0222,0.0495,0.0671,0.0719,122.175.70.20,329883180,52,0,28,1,0.0,0.060388688,14.0,0.0,22567.0,1539.0
http://en.wikipedia.org/w/index.php?diff=328604347&oldid=328604206,2009-11-29T16:24:00Z,Reverted edits by [[Special:Contributions/Amit lalit|Amit lalit]] to last revision by YellowFives ([[Wikipedia:Huggle|HG]]),Babari masjid,41364,326991599,1.1274,0.0349,0.0588,0.0577,0.0612,Noq,326992546,1,0,193,0,0.0,inf,9.0,0.0,50847.0,6175.0
http://en.wikipedia.org/w/index.php?diff=330085084&oldid=330084695,2009-12-06T17:15:36Z,,Illegal immigration to the United States,5637,327830232,1.1222,0.0483,0.0759,0.0904,0.0994,62.203.146.20,329205739,48,0,0,1,0.0,inf,43.0,0.0,186971.0,20175.0
http://en.wikipedia.org/w/index.php?diff=327113525&oldid=327113278,2009-11-21T14:19:57Z,,Crackerjack,1729,326522791,1.1067,0.0803,0.1371,0.0721,0.0777,Woohookitty,327097015,5,0,59,0,0.0,0.000682,19.0,0.0,1831.0,182.0
http://en.wikipedia.org/w/index.php?diff=329691614&oldid=321470232,2009-12-04T16:57:03Z,changed exact reproduction to consistent reproduction,Digital Audio Stationary Head,9813,327127460,1.1358,0.1135,0.1632,0.1243,0.1419,94.4.29.255,327127690,1,0,34,1,0.0,0.006448736,16.0,0.0,5858.0,910.0
http://en.wikipedia.org/w/index.php?diff=327131608&oldid=326747209,2009-11-21T16:45:06Z,,Blackburn Rovers F.C.,17459,327181591,1.1161,0.0351,0.0606,0.0744,0.0803,71.125.145.117,327185265,102,0,43,1,0.0,0.0,0.0,0.0,72419.0,5478.0
http://en.wikipedia.org/w/index.php?diff=329296099&oldid=329295415,2009-12-02T19:37:41Z,[[WP:UNDO|Undid]] revision 329295415 by [[Special:Contributions/71.23.79.21|71.23.79.21]] ([[User talk:71.23.79.21|talk]]),Athens Drive High School,13583,327372389,1.1373,0.045,0.1052,0.1099,0.1234,Thirdship,327373120,0,0,47,0,0.0,0.0,26.0,0.0,15398.0,1913.0
http://en.wikipedia.org/w/index.php?diff=326849423&oldid=325735688,2009-11-20T01:54:08Z,,The Black Box Revelation,18248,326753826,1.1324,0.0589,0.1288,0.1869,0.2298,WayKurat,328162460,17,0,85,0,0.0,0.39851105,24.0,0.0,11623.0,1374.0
http://en.wikipedia.org/w/index.php?diff=329705334&oldid=329510064,2009-12-04T18:13:15Z,/* Music */,Faithless,9777,328147148,1.1122,0.057,0.1018,0.0417,0.0435,Download,328147219,8,0,130,0,0.0,0.000513,73.0,0.0,12881.0,1255.0
