Anonymous,articleid,articletitle,bad_words,category,character_diversity,class,comment_len,digit_ratio,editid,editor,longest_Word,newrevisionid,non_alpha_numeric_ratio,oldrevisionid,size,size_increment,upper_to_all,upper_to_lower,vulgar_word_ratio,word_count
0,19952844,Gulf Stream Council,0.0,Category:All articles with dead external links,1.1583,0,143,0.1429,46598,Graham87,0.0,676332599,0.1714,641371506,105028.0,0,0.3333,0.4762,0.0,12201.0
0,714503,Bauman Moscow State Technical University,0.0,Category:1830 establishments in the Russian Empire,1.1312,0,8,0.0849,47586,Allopatry,48.0,760929913,0.1147,721629708,8281.0,1,0.0568,0.0602,0.0,979.0
0,1139122,Dacia Logan,0.0,Category:2000s cars,1.1436,0,24,0.0429,47496,Grapesoda22,19.0,777760625,0.0576,777760499,18009.0,3,0.1016,0.1131,0.0,733.0
0,127393,"West Islip, New York",0.0,Category:All articles needing additional references,1.1211,0,42,0.0363,46550,KolbertBot,140.0,846478259,0.1004,837986787,3212.0,1,0.0541,0.0572,0.0,259.0
1,15999099,Berchtold Haller,0.0,Category:1492 births,1.1133,0,29,0.0254,47966,2600:1702:2530:98F0:74DC:93D4:EE16:3EE5,9.0,898994024,0.0484,853536969,19941.0,3,0.0684,0.0734,0.0,2053.0
0,11593994,Sidney Lawrence,0.0,Category:1801 births,1.1323,0,160,0.0451,46667,Monkbot,107.0,918143374,0.0731,864563062,9538.0,4,0.0599,0.0637,0.0,1143.0
0,37396746,Deadgirl (2008 film),0.0,,1.1295,0,55,0.0355,50031,InternetArchiveBot,105.0,931655329,0.0834,921440164,10813.0,153,0.1077,0.1207,0.0,1038.0
0,13159,Gunpowder Plot,0.0,Category:1605 in England,1.1191,0,118,0.0433,48487,KIENGIR,21.0,924614178,0.0644,924516433,4899.0,1,0.0706,0.0759,0.0,483.0
1,20773807,Chréa,0.0,Category:Algeria geography stubs,1.1374,1,37,0.0433,48866,184.16.122.219,12.0,925099187,0.0886,925097885,15428.0,17,0.0695,0.0747,0.031446540880503145,1675.0
0,1427608,Transliteration of Ancient Egyptian,0.0,Category:Ancient Egyptian language,1.1525,0,0,0.001,50696,Toweli,10.0,944519499,0.02,940391424,1434.0,32,0.0856,0.0935,0.0,152.0
1,36358535,Alerce Costero Natural Monument,0.0,,1.1496,1,129,0.0641,49526,Premeditated Chaos,13.0,942036584,0.1206,940441886,52646.0,4,0.0661,0.0708,0.009345794392523364,5682.0
0,5292157,Big Cone,0.0,Category:All articles with unsourced statements,1.1327,0,29,0.0496,49778,Guinness323,15.0,946676577,0.1297,940932324,6917.0,76,0.1595,0.1897,0.0,823.0
1,9580660,1951 NBA All-Star Game,0.0,Category:1950s in Boston,1.1487,0,11,0.0614,48558,Phantanan Kobkitchaisong,14.0,942767598,0.1106,942677600,41330.0,15,0.0829,0.0904,0.0,3609.0
1,10564724,Cerro Villa Middle School,0.0,,1.1409,0,12,0.0106,51377,Narky Blert,9.0,944692384,0.0411,943040145,2034.0,15,0.1004,0.1116,0.0,228.0
1,20853515,Forman Hatfield,0.0,,1.1366,0,2,0.0267,47272,Richard Nevell,28.0,946395998,0.0468,946391357,14275.0,0,0.0325,0.0335,0.0,1688.0
1,19742440,Peter Steen,0.0,Category:1936 births,1.1451,0,0,0.0723,46972,104.243.164.238,12.0,947920229,0.1608,947252276,40350.0,28,0.0574,0.0609,0.0,1785.0
