editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,class,comment_len,Anonymous,vulgar_word_ratio,character_distribution,longest_Word,bad_words
12471,328870182,1.0914,0.0831,0.1135,0.0492,0.0518,68.50.240.36,328870413,12,0,35,1,0,7.02E-05,34,0
1139,327300213,1.0933,0.1521,0.2726,0.1366,0.1582,Chanheigeorge,327300564,5,0,36,0,0,Infinity,15,0
24548,327330631,1.1337,0.0574,0.0977,0.0499,0.0525,Sanguis Sanies,327331045,145,0,60,1,0.024096386,Infinity,104,0
36319,327683193,1.0705,0.0352,0.0717,0.0587,0.0623,Black Stripe,327835150,318,0,21,1,0,0.09762379,13,0
27813,327932788,1.1519,0.0546,0.0938,0.1301,0.1495,Another Believer,327945608,2,0,21,1,0,Infinity,15,0
9726,327612551,1.1415,0.0167,0.0512,0.0767,0.083,Barkingart,327613581,20,0,28,0,0,0.04290483,13,0
8110,328802995,1.1505,0.0444,0.0706,0.0662,0.0708,JenniferLeslie2008,328803037,8,0,21,0,0.021276596,0.05671789,102,0
38787,328249684,1.1404,0.0505,0.0917,0.076,0.0822,71.195.186.130,328700779,187,0,20,1,0,Infinity,41,0
21488,328291986,1.0792,0.091,0.1513,0.0838,0.0915,KyleRGiggs,329059268,7,0,93,0,0,0.2905726,6,0
16343,327444534,1.1228,0.0661,0.1305,0.0919,0.1011,32.179.97.196,328139556,0,0,0,1,0,0.10944429,10,0
13681,327887988,1.0919,0.0322,0.0775,0.0636,0.0679,MRSC,328223881,305,0,7,0,0,0.9052966,9,0
13964,329067877,1.0893,0.0351,0.0799,0.071,0.0764,Rich257,329211726,18,0,120,0,0,0,0,0
25214,327365700,1.1218,0.0558,0.1156,0.1142,0.1288,68.40.112.72,327365809,0,0,22,1,0,Infinity,16,0
17335,327957820,1.1303,0.0216,0.0563,0.0806,0.0876,Twinsday,327958517,6,0,0,0,0,0.13657553,18,0
37485,327497018,1.1315,0.0231,0.0981,0.1128,0.127,79.89.17.160,328678998,70,0,0,1,0,Infinity,27,0
8132,328239841,1.1208,0.0294,0.0703,0.0745,0.0805,117.97.139.213,328240004,75,0,17,1,0,0.1966007,9,0
9335,311207569,1.1505,0.0154,0.0349,0.0288,0.0296,Rich Farmbrough,329976971,19,0,109,1,0,0.42993593,22,0
7129,327760169,1.1258,0.0155,0.058,0.0685,0.0734,Aspects,327760237,12,0,70,0,0,0.72176653,3,0
4510,271583232,1.1299,0.0814,0.1231,0.1305,0.1499,Rich Farmbrough,329059312,20,0,74,1,0,0.016172718,11,0
5476,327262478,1.0628,0.0379,0.0867,0.0756,0.0818,TjBot,327334302,28,0,42,0,0,Infinity,14,0
5080,326231210,1.1103,0.0903,0.1387,0.0818,0.089,80.216.240.26,327903223,3,0,0,1,0,Infinity,3,0
38003,328294076,1.1403,0.0474,0.0703,0.097,0.1074,Thatguyflint,328294091,8,0,125,0,0,0.60784197,8,0
