editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,class,comment_len,Anonymous,vulgar_word_ratio,longest_Word,bad_words,character_distribution
46598,641371506,1.1583,0.1429,0.1714,0.3333,0.4762,Graham87,676332599,0,0,143,0,0.0,0.0,0.0,
47586,721629708,1.1312,0.0849,0.1147,0.0568,0.0602,Allopatry,760929913,1,0,8,0,0.0,48.0,0.0,
47496,777760499,1.1436,0.0429,0.0576,0.1016,0.1131,Grapesoda22,777760625,3,0,24,0,0.0,19.0,0.0,
46550,837986787,1.1211,0.0363,0.1004,0.0541,0.0572,KolbertBot,846478259,1,0,42,0,0.0,140.0,0.0,
47966,853536969,1.1133,0.0254,0.0484,0.0684,0.0734,2600:1702:2530:98F0:74DC:93D4:EE16:3EE5,898994024,3,0,29,1,0.0,9.0,0.0,
46667,864563062,1.1323,0.0451,0.0731,0.0599,0.0637,Monkbot,918143374,4,0,160,0,0.0,107.0,0.0,
50031,921440164,1.1295,0.0355,0.0834,0.1077,0.1207,InternetArchiveBot,931655329,153,0,55,0,0.0,105.0,0.0,
48487,924516433,1.1191,0.0433,0.0644,0.0706,0.0759,KIENGIR,924614178,1,0,118,0,0.0,21.0,0.0,
48866,925097885,1.1374,0.0433,0.0886,0.0695,0.0747,184.16.122.219,925099187,17,1,37,1,0.031446540880503145,12.0,0.0,
50696,940391424,1.1525,0.001,0.02,0.0856,0.0935,Toweli,944519499,32,0,0,0,0.0,10.0,0.0,
49526,940441886,1.1496,0.0641,0.1206,0.0661,0.0708,Premeditated Chaos,942036584,4,1,129,1,0.009345794392523364,13.0,0.0,
49778,940932324,1.1327,0.0496,0.1297,0.1595,0.1897,Guinness323,946676577,76,0,29,0,0.0,15.0,0.0,
48558,942677600,1.1487,0.0614,0.1106,0.0829,0.0904,Phantanan Kobkitchaisong,942767598,15,0,11,1,0.0,14.0,0.0,
51377,943040145,1.1409,0.0106,0.0411,0.1004,0.1116,Narky Blert,944692384,15,0,12,1,0.0,9.0,0.0,
47272,946391357,1.1366,0.0267,0.0468,0.0325,0.0335,Richard Nevell,946395998,0,0,2,1,0.0,28.0,0.0,
46972,947252276,1.1451,0.0723,0.1608,0.0574,0.0609,104.243.164.238,947920229,28,0,0,1,0.0,12.0,0.0,
49626,947691580,1.0913,0.0853,0.1552,0.0611,0.0651,R'n'B,947851737,45,0,174,1,0.0,115.0,0.0,
50321,948682822,1.1271,0.0746,0.1161,0.0877,0.0962,81.110.114.228,948868770,0,0,20,1,0.0,59.0,0.0,
55963,948682822,1.1271,0.0746,0.1161,0.0877,0.0962,81.110.114.228,948868770,0,0,20,1,0.0,59.0,0.0,
51779,948940024,1.0907,0.0571,0.1079,0.0771,0.0836,SoWhAt249,949236958,35,0,14,0,0.0,10.0,0.0,
49143,949003967,1.1504,0.0766,0.2324,0.1193,0.1355,Plumpenmarran,949004152,1,0,0,0,0.0,12.0,0.0,
46997,332915233,1.1623,0.0252,0.0711,0.0345,0.0357,Rpyle731,332962997,21,0,66,0,0.0,21.0,0.0,
51145,662366889,1.1414,0.0212,0.0576,0.0553,0.0586,"Me, Myself, and I are Here",828378960,0,1,21,1,0.008097165991902834,23.0,0.0,
47002,877447957,1.1242,0.1012,0.1378,0.0888,0.0974,Robby.is.on,877454427,186,0,108,1,0.0,68.0,0.0,
47756,894147795,1.1336,0.0337,0.0695,0.0896,0.0985,InternetArchiveBot,906555676,129,0,61,0,0.0,80.0,0.0,
47335,906110117,1.1371,0.0313,0.0555,0.0608,0.0647,Kleinjup,910282215,2,0,8,0,0.0,13.0,0.0,
46273,918011049,1.1299,0.0149,0.0456,0.092,0.1012,Alistair1978,922670580,1,0,25,0,0.0,14.0,0.0,
50110,924739176,1.1207,0.0979,0.1145,0.1392,0.1614,81.132.211.159,924739556,129,0,0,1,0.0,10.0,0.0,
46383,924757058,1.1227,0.0646,0.1044,0.0904,0.0994,Dummelaksen,927159010,18,0,36,0,0.0,21.0,0.0,
46351,934502482,1.1379,0.0368,0.0764,0.0756,0.0817,Derek R Bullamore,935660144,0,1,43,1,0.12121212121212123,68.0,0.0,
46131,936830146,1.1407,0.0509,0.0874,0.0506,0.0533,BeepThisIsNotaTest,936830552,30,0,13,0,0.0,62.0,0.0,
49895,940913639,1.1375,0.0376,0.0743,0.067,0.0718,DemonDays64 Bot,941699286,1,0,100,1,0.0,108.0,0.0,
49662,944498574,1.1476,0.05,0.0865,0.067,0.0718,Fullrabb,947491067,5,1,0,0,0.015810276679841896,84.0,0.0,
50183,944498574,1.1476,0.05,0.0865,0.067,0.0718,Fullrabb,947491067,5,1,0,0,0.015810276679841896,84.0,0.0,
57382,944498574,1.1476,0.05,0.0865,0.067,0.0718,Fullrabb,947491067,5,1,0,0,0.015810276679841896,84.0,0.0,
49776,946676684,1.133,0.0496,0.1299,0.158,0.1875,CrazyBoy826,948552479,1,0,10,0,0.0,9.0,0.0,
46819,947112489,1.1234,0.0569,0.0843,0.0575,0.061,ChrisCarss Former24.108.99.31,947112539,0,0,14,1,0.0,18.0,0.0,
48024,948060152,1.1474,0.0577,0.1247,0.098,0.1086,Keith D,948140775,10,0,130,1,0.0,48.0,0.0,
60066,948060152,1.1474,0.0577,0.1247,0.098,0.1086,Keith D,948140775,10,0,130,1,0.0,48.0,0.0,
65437,948060152,1.1474,0.0577,0.1247,0.098,0.1086,Keith D,948140775,10,0,130,1,0.0,48.0,0.0,
48204,948613988,1.1554,0.1025,0.1634,0.0725,0.0781,98.181.242.47,949182900,7,0,0,1,0.0,14.0,0.0,
49178,948641527,1.1027,0.0823,0.1371,0.0649,0.0694,Dawnseeker2000,948665156,18,1,48,0,0.014492753623188406,176.0,0.0,
46998,332885312,1.1623,0.0253,0.0713,0.0358,0.0371,Pburka,332915233,4,0,60,0,0.0,17.0,0.0,
48375,800494957,1.1316,0.0149,0.0488,0.0395,0.0411,Equinox,804538148,7,0,10,0,0.0,22.0,0.0,
50634,869408979,1.1231,0.0303,0.0566,0.0849,0.0927,John of Reading,878529869,157,0,154,1,0.0,0.0,0.0,
47812,893267602,1.1313,0.0371,0.0683,0.075,0.0811,Larrybob,907243984,43,0,33,0,0.0,111.0,0.0,
50153,899446737,1.1264,0.0645,0.1364,0.1033,0.1152,Monkbot,903874032,0,1,141,0,0.017543859649122806,158.0,0.0,
47755,906555676,1.1338,0.0359,0.0727,0.0888,0.0974,Monkbot,916199698,3,0,160,0,0.0,74.0,0.0,
47043,916534739,1.0855,0.0454,0.0841,0.062,0.0661,64.180.151.198,932152988,1,0,14,1,0.0,10.0,0.0,
58492,916534739,1.0855,0.0454,0.0841,0.062,0.0661,64.180.151.198,932152988,1,0,14,1,0.0,10.0,0.0,
49333,926262633,1.1104,0.022000000000000002,0.0481,0.0554,0.0586,2601:1C0:4501:F800:EC3B:65E4:E490:17DC,943527263,148,1,10,1,0.010416666666666666,12.0,0.0,
46922,932522888,1.1286,0.0417,0.0866,0.0832,0.0908,Greyjoy,933153978,93,1,19,0,0.05263157894736842,20.0,0.0,
47234,935779300,1.1443,0.0462,0.1118,0.0776,0.0841,Walter Görlitz,935779697,75,1,147,1,0.008695652173913044,168.0,0.0,
52041,936073900,1.1404,0.0838,0.1134,0.0707,0.076,InternetArchiveBot,941825243,180,0,55,0,0.0,152.0,0.0,
51629,942960492,1.0839,0.052000000000000005,0.1124,0.0751,0.0812,Nealbo,947819247,11,0,68,0,0.0,18.0,0.0,
50716,946326363,1.1435,0.0305,0.0575,0.0548,0.057999999999999996,Tridwoxi,946328383,1,0,118,0,0.0,11.0,0.0,
47271,946395998,1.1366,0.0267,0.0467,0.0324,0.0335,125.212.186.123,947423379,39,1,0,1,0.0078125,17.0,0.0,
50585,947024993,1.1243,0.0438,0.0779,0.0613,0.0653,MarnetteD,947025164,331,0,15,0,0.0,134.0,0.0,
51274,947266597,1.1071,0.1348,0.195,0.0905,0.0995,ReaperSox,947266651,7,0,0,0,0.0,12.0,0.0,
50642,947944181,1.1386,0.0788,0.1259,0.0607,0.0646,Yamaguchi先生,948733145,1,0,196,0,0.0,14.0,0.0,
48684,948163813,1.12,0.0476,0.0795,0.0365,0.0379,XavierItzm,948163874,38,1,24,0,0.07692307692307693,72.0,0.0,
47011,948639788,1.1547,0.0595,0.1118,0.0627,0.0669,NeoBatfreak,948640120,47,0,10,0,0.0,34.0,0.0,
49531,633651731,1.1266,0.0404,0.0639,0.1317,0.1516,KasparBot,659766286,14,0,35,0,0.0,11.0,0.0,
49774,712735233,1.1237,0.0683,0.1168,0.0768,0.0831,Dcirovic,720604718,6,0,34,0,0.0,57.0,0.0,
46555,729115701,1.1322,0.0524,0.0792,0.1093,0.1226,Greenshed,847823979,39,0,35,0,0.0,20.0,0.0,
49831,825570275,1.1269,0.034,0.0866,0.0691,0.0742,WolfmanSF,907460154,0,0,17,0,0.0,17.0,0.0,
50981,846928952,1.139,0.0464,0.1071,0.1051,0.1174,GreenC bot,853817305,28,0,91,1,0.0,81.0,0.0,
52049,861575769,1.1334,0.0625,0.0812,0.0978,0.1084,PrimeBOT,880489540,65,0,109,0,0.0,8.0,0.0,
49891,895953663,1.117,0.1092,0.201,0.1293,0.1484,201.37.160.126,937072058,11,0,12,1,0.0,5.0,0.0,
50840,897363194,1.1302,0.031,0.0617,0.0403,0.042,Ahess2,897363267,6,0,14,0,0.0,23.0,0.0,
50839,897363267,1.1302,0.0311,0.0607,0.0407,0.0424,Ahess2,897363351,6,0,14,0,0.0,40.0,0.0,
