"editid","editor","oldrevisionid","newrevisionid","diffurl","class","annotators","totalannotators","edittime","editcomment","articleid","articletitle"
416341,"YUL89YYZ",308672260,326825757,"http://en.wikipedia.org/w/index.php?diff=326825757&oldid=308672260","regular",8,9,"2009-11-19T23:25:19Z","Disambiguate [[CMG]] to [[Companion of the Order of St Michael and St George]] using [[:en:Wikipedia:Tools/Navigation_popups|popups]]",22605565,"Elwin Palmer"
416342,"Abyssal",326560892,326560971,"http://en.wikipedia.org/w/index.php?diff=326560971&oldid=326560892","regular",3,3,"2009-11-18T16:48:35Z","/* Thyreophorans */",25122995,"List of stratigraphic units with dinosaur tracks"
416343,"24.199.196.3",326540780,326785787,"http://en.wikipedia.org/w/index.php?diff=326785787&oldid=326540780","vandalism",20,21,"2009-11-19T19:46:03Z","/* Air Jordan XI */",1394509,"Air Jordan"
416345,"Brillbananaman",326886207,326886384,"http://en.wikipedia.org/w/index.php?diff=326886384&oldid=326886207","regular",3,3,"2009-11-20T06:53:06Z","/* Photographic career */",20307120,"Peter Dazeley"
416346,"Lalax3",326324241,326860676,"http://en.wikipedia.org/w/index.php?diff=326860676&oldid=326324241","regular",3,3,"2009-11-20T03:11:50Z","Made a few grammar corrections.",72156,"Human population control"
416347,"Quentin X",326735845,326788054,"http://en.wikipedia.org/w/index.php?diff=326788054&oldid=326735845","regular",3,3,"2009-11-19T19:59:13Z","only first call up needs to be mentioned otherwise we could be here forever.",2798180,"Gary Cahill"
416348,"Snigbrook",326772710,326792208,"http://en.wikipedia.org/w/index.php?diff=326792208&oldid=326772710","regular",3,3,"2009-11-19T20:21:36Z","[[Help:Reverting|Reverted]] edits by [[Special:Contributions/164.92.250.21|164.92.250.21]] ([[User talk:164.92.250.21|talk]]) to last version by 86.149.152.130",1046324,"Pam Grier"
416349,"Clausule",323137760,326826419,"http://en.wikipedia.org/w/index.php?diff=326826419&oldid=323137760","regular",3,3,"2009-11-19T23:28:50Z",,21168607,"Petr Elfimov"
416401,"Alex MacIntosh88",326638307,326821388,"http://en.wikipedia.org/w/index.php?diff=326821388&oldid=326638307","regular",3,3,"2009-11-19T22:59:57Z","Added information about clients, booking system, and various other small points",12074447,"Gaba Corporation"
416402,"Journals88",321898644,326924992,"http://en.wikipedia.org/w/index.php?diff=326924992&oldid=321898644","regular",3,3,"2009-11-20T13:39:30Z",,24081906,"Journal of Optics (disambiguation)"
416404,"After Midnight",323013893,326857442,"http://en.wikipedia.org/w/index.php?diff=326857442&oldid=323013893","regular",3,3,"2009-11-20T02:48:52Z","Disambiguate [[Uncut]] to [[Uncut (magazine)]] using [[:en:Wikipedia:Tools/Navigation_popups|popups]]",4664283,"The Avalanche: Outtakes and Extras from the Illinois Album"
416405,"Lucas.tej",326563626,326564236,"http://en.wikipedia.org/w/index.php?diff=326564236&oldid=326563626","regular",3,3,"2009-11-18T17:07:50Z","/* Feud is on */",24479494,"Bushido vs. Aggro Berlin feud"
416406,"WhatGuy",326558552,326562465,"http://en.wikipedia.org/w/index.php?diff=326562465&oldid=326558552","regular",8,9,"2009-11-18T16:57:31Z",,2511761,"List of artists by total number of UK number one singles"
416407,"Shiju.johns",326916315,326916397,"http://en.wikipedia.org/w/index.php?diff=326916397&oldid=326916315","regular",3,3,"2009-11-20T12:14:05Z","/* List of AIFIS */",25143857,"All India Financial Institutions"
416408,"Nedim Ardoğa",321541778,326919406,"http://en.wikipedia.org/w/index.php?diff=326919406&oldid=321541778","regular",3,3,"2009-11-20T12:47:53Z","/* History */",1871641,"Çanakkale"
416409,"Moxy",323182985,326807887,"http://en.wikipedia.org/w/index.php?diff=326807887&oldid=323182985","regular",3,3,"2009-11-19T21:49:36Z","update",1801187,"Lithic stage"
416431,"MrOllie",326909906,326927692,"http://en.wikipedia.org/w/index.php?diff=326927692&oldid=326909906","regular",3,3,"2009-11-20T14:02:43Z","/* External links */ rm linkspam",101348,"Piazza San Marco"
416432,"EricTN",326871887,326871998,"http://en.wikipedia.org/w/index.php?diff=326871998&oldid=326871887","regular",3,3,"2009-11-20T04:32:23Z","/* Film career */",102973,"Chevy Chase"
416433,"Lil-unique1",326803074,326804970,"http://en.wikipedia.org/w/index.php?diff=326804970&oldid=326803074","regular",3,3,"2009-11-19T21:33:30Z","[[WP:UNDO|Undid]] revision 326803074 by [[Special:Contributions/92.29.183.223|92.29.183.223]] ([[User talk:92.29.183.223|talk]])",19706670,"I Am... Sasha Fierce"
416435,"Mandarax",326301914,326779537,"http://en.wikipedia.org/w/index.php?diff=326779537&oldid=326301914","regular",3,3,"2009-11-19T19:11:00Z","Add DEFAULTSORT and 3 categories",25108463,"Paul Santelli"
416436,"Fratrep",323185572,326739505,"http://en.wikipedia.org/w/index.php?diff=326739505&oldid=323185572","regular",3,3,"2009-11-19T14:59:09Z","Repairing link to disambiguation page - [[Wikipedia:Disambiguation pages with links|You can help!]]",217358,"Pedro Calderón de la Barca"
416437,"Rettetast",300099679,326554755,"http://en.wikipedia.org/w/index.php?diff=326554755&oldid=300099679","regular",3,3,"2009-11-18T16:11:54Z","infobox cleanup. rm retired from current club per template instuctions. + misc.",7379600,"Wolfgang Paul (footballer)"
416438,"81.154.244.247",326556133,326556284,"http://en.wikipedia.org/w/index.php?diff=326556284&oldid=326556133","regular",3,3,"2009-11-18T16:20:47Z",,20889094,"Girls Aloud discography"
416439,"Geregen2",326812388,326925665,"http://en.wikipedia.org/w/index.php?diff=326925665&oldid=326812388","regular",3,3,"2009-11-20T13:45:36Z","/* Current squad */",10816583,"Rodez AF"
