editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,size,word_count,class,comment_len,Anonymous,vulgar_word_ratio,longest_Word,bad_words,articleid,articletitle
46598,641371506,1.1583,0.1429,0.1714,0.3333,0.4762,Graham87,676332599,0,105028.0,12201.0,0,143,0,0.0,0,0.0,19952844,Gulf Stream Council
47586,721629708,1.1312,0.0849,0.1147,0.0568,0.0602,Allopatry,760929913,1,8281.0,979.0,0,8,0,0.0,48,0.0,714503,Bauman Moscow State Technical University
47496,777760499,1.1436,0.0429,0.0576,0.1016,0.1131,Grapesoda22,777760625,3,18009.0,733.0,0,24,0,0.0,19,0.0,1139122,Dacia Logan
46550,837986787,1.1211,0.0363,0.1004,0.0541,0.0572,KolbertBot,846478259,1,3212.0,259.0,0,42,0,0.0,140,0.0,127393,"West Islip, New York"
47966,853536969,1.1133,0.0254,0.0484,0.0684,0.0734,2600:1702:2530:98F0:74DC:93D4:EE16:3EE5,898994024,3,19941.0,2053.0,0,29,1,0.0,9,0.0,15999099,Berchtold Haller
46667,864563062,1.1323,0.0451,0.0731,0.0599,0.0637,Monkbot,918143374,4,9538.0,1143.0,0,160,0,0.0,107,0.0,11593994,Sidney Lawrence
50031,921440164,1.1295,0.0355,0.0834,0.1077,0.1207,InternetArchiveBot,931655329,153,10813.0,1038.0,0,55,0,0.0,105,0.0,37396746,Deadgirl (2008 film)
48487,924516433,1.1191,0.0433,0.0644,0.0706,0.0759,KIENGIR,924614178,1,4899.0,483.0,0,118,0,0.0,21,0.0,13159,Gunpowder Plot
48866,925097885,1.1374,0.0433,0.0886,0.0695,0.0747,184.16.122.219,925099187,17,15428.0,1675.0,1,37,1,0.031446540880503145,12,0.0,20773807,Chréa
50696,940391424,1.1525,0.001,0.02,0.0856,0.0935,Toweli,944519499,32,1434.0,152.0,0,0,0,0.0,10,0.0,1427608,Transliteration of Ancient Egyptian
49526,940441886,1.1496,0.0641,0.1206,0.0661,0.0708,Premeditated Chaos,942036584,4,52646.0,5682.0,1,129,1,0.009345794392523364,13,0.0,36358535,Alerce Costero Natural Monument
49778,940932324,1.1327,0.0496,0.1297,0.1595,0.1897,Guinness323,946676577,76,6917.0,823.0,0,29,0,0.0,15,0.0,5292157,Big Cone
