editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,size,word_count,class,comment_len,Anonymous,vulgar_word_ratio,longest_Word,bad_words,articleid,articletitle,character_distribution
46598,641371506,1.1583,0.1429,0.1714,0.3333,0.4762,Graham87,676332599,0,105028.0,12201.0,0,143,0,0.0,0.0,0.0,19952844,Gulf Stream Council,
47586,721629708,1.1312,0.0849,0.1147,0.0568,0.0602,Allopatry,760929913,1,8281.0,979.0,0,8,0,0.0,48.0,0.0,714503,Bauman Moscow State Technical University,
47496,777760499,1.1436,0.0429,0.0576,0.1016,0.1131,Grapesoda22,777760625,3,18009.0,733.0,0,24,0,0.0,19.0,0.0,1139122,Dacia Logan,
46550,837986787,1.1211,0.0363,0.1004,0.0541,0.0572,KolbertBot,846478259,1,3212.0,259.0,0,42,0,0.0,140.0,0.0,127393,"West Islip, New York",
47966,853536969,1.1133,0.0254,0.0484,0.0684,0.0734,2600:1702:2530:98F0:74DC:93D4:EE16:3EE5,898994024,3,19941.0,2053.0,0,29,1,0.0,9.0,0.0,15999099,Berchtold Haller,
46667,864563062,1.1323,0.0451,0.0731,0.0599,0.0637,Monkbot,918143374,4,9538.0,1143.0,0,160,0,0.0,107.0,0.0,11593994,Sidney Lawrence,
50031,921440164,1.1295,0.0355,0.0834,0.1077,0.1207,InternetArchiveBot,931655329,153,10813.0,1038.0,0,55,0,0.0,105.0,0.0,37396746,Deadgirl (2008 film),
48487,924516433,1.1191,0.0433,0.0644,0.0706,0.0759,KIENGIR,924614178,1,4899.0,483.0,0,118,0,0.0,21.0,0.0,13159,Gunpowder Plot,
48866,925097885,1.1374,0.0433,0.0886,0.0695,0.0747,184.16.122.219,925099187,17,15428.0,1675.0,1,37,1,0.031446540880503145,12.0,0.0,20773807,Chréa,
50696,940391424,1.1525,0.001,0.02,0.0856,0.0935,Toweli,944519499,32,1434.0,152.0,0,0,0,0.0,10.0,0.0,1427608,Transliteration of Ancient Egyptian,
49526,940441886,1.1496,0.0641,0.1206,0.0661,0.0708,Premeditated Chaos,942036584,4,52646.0,5682.0,1,129,1,0.009345794392523364,13.0,0.0,36358535,Alerce Costero Natural Monument,
49778,940932324,1.1327,0.0496,0.1297,0.1595,0.1897,Guinness323,946676577,76,6917.0,823.0,0,29,0,0.0,15.0,0.0,5292157,Big Cone,
48558,942677600,1.1487,0.0614,0.1106,0.0829,0.0904,Phantanan Kobkitchaisong,942767598,15,41330.0,3609.0,0,11,1,0.0,14.0,0.0,9580660,1951 NBA All-Star Game,
51377,943040145,1.1409,0.0106,0.0411,0.1004,0.1116,Narky Blert,944692384,15,2034.0,228.0,0,12,1,0.0,9.0,0.0,10564724,Cerro Villa Middle School,
47272,946391357,1.1366,0.0267,0.0468,0.0325,0.0335,Richard Nevell,946395998,0,14275.0,1688.0,0,2,1,0.0,28.0,0.0,20853515,Forman Hatfield,
46972,947252276,1.1451,0.0723,0.1608,0.0574,0.0609,104.243.164.238,947920229,28,40350.0,1785.0,0,0,1,0.0,12.0,0.0,19742440,Peter Steen,
49626,947691580,1.0913,0.0853,0.1552,0.0611,0.0651,R'n'B,947851737,45,189487.0,15768.0,0,174,1,0.0,115.0,0.0,2011864,Symphony No. 8 (Bruckner),
50321,948682822,1.1271,0.0746,0.1161,0.0877,0.0962,81.110.114.228,948868770,0,27050.0,2123.0,0,20,1,0.0,59.0,0.0,9357607,Pink BH,
55963,948682822,1.1271,0.0746,0.1161,0.0877,0.0962,81.110.114.228,948868770,0,27050.0,2123.0,0,20,1,0.0,59.0,0.0,2192764,List of figures in nationalism,
51779,948940024,1.0907,0.0571,0.1079,0.0771,0.0836,SoWhAt249,949236958,35,259071.0,24098.0,0,14,0,0.0,10.0,0.0,4372402,Chad Hartman,
49143,949003967,1.1504,0.0766,0.2324,0.1193,0.1355,Plumpenmarran,949004152,1,136675.0,3301.0,0,0,0,0.0,12.0,0.0,2032083,Shah (disambiguation),
46997,332915233,1.1623,0.0252,0.0711,0.0345,0.0357,Rpyle731,332962997,21,62113.0,6948.0,0,66,0,0.0,21.0,0.0,25240261,Army Cadet College,
51145,662366889,1.1414,0.0212,0.0576,0.0553,0.0586,"Me, Myself, and I are Here",828378960,0,8774.0,1320.0,1,21,1,0.008097165991902834,23.0,0.0,5449910,U-229,
47002,877447957,1.1242,0.1012,0.1378,0.0888,0.0974,Robby.is.on,877454427,186,3320.0,145.0,0,108,1,0.0,68.0,0.0,21237995,2009–10 Premier League,
47756,894147795,1.1336,0.0337,0.0695,0.0896,0.0985,InternetArchiveBot,906555676,129,9803.0,1155.0,0,61,0,0.0,80.0,0.0,386209,Roberto Assagioli,
47335,906110117,1.1371,0.0313,0.0555,0.0608,0.0647,Kleinjup,910282215,2,13016.0,1737.0,0,8,0,0.0,13.0,0.0,1021490,Super Freak,
46273,918011049,1.1299,0.0149,0.0456,0.092,0.1012,Alistair1978,922670580,1,8326.0,804.0,0,25,0,0.0,14.0,0.0,12158347,Robert Pook,
50110,924739176,1.1207,0.0979,0.1145,0.1392,0.1614,81.132.211.159,924739556,129,101874.0,1520.0,0,0,1,0.0,10.0,0.0,22621258,Echo (Leona Lewis album),
46383,924757058,1.1227,0.0646,0.1044,0.0904,0.0994,Dummelaksen,927159010,18,9961.0,697.0,0,36,0,0.0,21.0,0.0,1613644,Interleukin 6,
46351,934502482,1.1379,0.0368,0.0764,0.0756,0.0817,Derek R Bullamore,935660144,0,18661.0,1853.0,1,43,1,0.12121212121212124,68.0,0.0,1941291,Barry Letts,
46131,936830146,1.1407,0.0509,0.0874,0.0506,0.0533,BeepThisIsNotaTest,936830552,30,27722.0,3849.0,0,13,0,0.0,62.0,0.0,2179359,List of Nintendo DS Wi-Fi Connection games,
49895,940913639,1.1375,0.0376,0.0743,0.067,0.0718,DemonDays64 Bot,941699286,1,54898.0,6571.0,0,100,1,0.0,108.0,0.0,9510699,StarStruck (Philippine TV series),
49662,944498574,1.1476,0.05,0.0865,0.067,0.0718,Fullrabb,947491067,5,117761.0,13814.0,1,0,0,0.015810276679841896,84.0,0.0,379440,List of nuclear reactors,
50183,944498574,1.1476,0.05,0.0865,0.067,0.0718,Fullrabb,947491067,5,117761.0,13814.0,1,0,0,0.015810276679841896,84.0,0.0,21150369,List of European supercentenarians,
57382,944498574,1.1476,0.05,0.0865,0.067,0.0718,Fullrabb,947491067,5,117761.0,13814.0,1,0,0,0.015810276679841896,84.0,0.0,9109717,American Task Force on Palestine,
49776,946676684,1.133,0.0496,0.1299,0.158,0.1875,CrazyBoy826,948552479,1,6917.0,823.0,0,10,0,0.0,9.0,0.0,5292157,Big Cone,
46819,947112489,1.1234,0.0569,0.0843,0.0575,0.061,ChrisCarss Former24.108.99.31,947112539,0,81377.0,7795.0,0,14,1,0.0,18.0,0.0,24094519,ASG Juventus de Sainte-Anne,
48024,948060152,1.1474,0.0577,0.1247,0.098,0.1086,Keith D,948140775,10,44113.0,4324.0,0,130,1,0.0,48.0,0.0,10024445,Sheena Halili,
60066,948060152,1.1474,0.0577,0.1247,0.098,0.1086,Keith D,948140775,10,44113.0,4324.0,0,130,1,0.0,48.0,0.0,2145410,List of Super Bowl champions,
65437,948060152,1.1474,0.0577,0.1247,0.098,0.1086,Keith D,948140775,10,44113.0,4324.0,0,130,1,0.0,48.0,0.0,318427,Scottish English,
48204,948613988,1.1554,0.1025,0.1634,0.0725,0.0781,98.181.242.47,949182900,7,128988.0,11556.0,0,0,1,0.0,14.0,0.0,881136,Fuchsia (color),
